State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
141,2,1,5,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
142,2,1,6,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
143,2,1,7,"Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
144,2,2,0,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]",0.0026,0.0206,0.0,0.0057,INC_AGE
145,2,2,1,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
146,2,2,2,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
147,2,2,3,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
148,2,2,4,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
149,2,2,5,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
150,2,2,6,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
151,2,2,7,"Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
152,2,3,0,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
153,2,3,1,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
154,2,3,2,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
155,2,3,3,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
156,2,3,4,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
157,2,3,5,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
158,2,3,6,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
159,2,3,7,"Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
160,2,4,0,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
161,2,4,1,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
162,2,4,2,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
163,2,4,3,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
164,2,4,4,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
165,2,4,5,"Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
