Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.0175,-0.0357,-0.0841,0.0,0.0,-0.0125,-0.0229
-0.0175,-0.0357,-0.0937,0.0,0.0,-0.0125,-0.0229
-0.0175,-0.0357,-0.1,0.0,0.0,-0.0125,-0.0229
-0.0175,-0.0357,-0.1,0.0,0.0,-0.0166,-0.0229
-0.0195,-0.0357,-0.1,0.0,0.0,-0.0166,-0.0229
-0.0184,-0.0357,-0.1,0.0,0.0,-0.0166,-0.0229
-0.0184,-0.0357,-0.1,0.0,0.0,-0.0166,-0.0257
-0.0184,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.0257
-0.0184,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.0309
-0.0184,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.033
-0.0177,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.033
-0.0177,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.0344
-0.0199,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.0344
-0.0199,-0.0357,-0.1051,0.0,0.0,-0.0166,-0.0362
-0.0199,-0.0357,-0.1099,0.0,0.0,-0.0166,-0.0362
-0.019,-0.0357,-0.1099,0.0,0.0,-0.0166,-0.0362
-0.019,-0.0357,-0.1141,0.0,0.0,-0.0166,-0.0362
-0.019,-0.0357,-0.1141,0.0,0.0,-0.0166,-0.038
-0.019,-0.0357,-0.1141,0.0,0.0,-0.0202,-0.038
-0.0209,-0.0357,-0.1141,0.0,0.0,-0.0202,-0.038
-0.0223,-0.0357,-0.1141,0.0,0.0,-0.0202,-0.038
-0.0214,-0.0357,-0.1141,0.0,0.0,-0.0202,-0.038
-0.0204,-0.0357,-0.1141,0.0,0.0,-0.0202,-0.038
-0.0223,-0.0357,-0.1141,0.0,0.0,-0.0202,-0.038
-0.0223,-0.0357,-0.1141,0.0,0.0,-0.0234,-0.038
-0.0214,-0.0357,-0.1141,0.0,0.0,-0.0234,-0.038
-0.0214,-0.0357,-0.1181,0.0,0.0,-0.0234,-0.038
-0.0232,-0.0357,-0.1181,0.0,0.0,-0.0234,-0.038
-0.0221,-0.0357,-0.1181,0.0,0.0,-0.0234,-0.038
-0.0237,-0.0357,-0.1181,0.0,0.0,-0.0234,-0.038
-0.0237,-0.0357,-0.1181,0.0,0.0,-0.0261,-0.038
-0.0225,-0.0357,-0.1181,0.0,0.0,-0.0261,-0.038
-0.0225,-0.0383,-0.1181,0.0,0.0,-0.0261,-0.038
-0.0225,-0.0487,-0.1181,0.0,0.0,-0.0261,-0.038
0.0,0.0,0.0,0.0,0.0,-0.0052,0.0
-0.0012,0.0,0.0,0.0,0.0,-0.0052,0.0
-0.0012,-0.009,0.0,0.0,0.0,-0.0052,0.0
-0.0012,-0.009,0.0,0.0,0.0,-0.0052,-0.0052
-0.0012,-0.0146,0.0,0.0,0.0,-0.0052,-0.0052
0.0,0.0,-0.0157,0.0,0.0,0.0,0.0
0.0,0.0,-0.0157,0.0,0.0,-0.0054,0.0
0.0,0.0,-0.0292,0.0,0.0,-0.0054,0.0
-0.0039,0.0,-0.0292,0.0,0.0,-0.0054,0.0
-0.0048,0.0,-0.0292,0.0,0.0,-0.0054,0.0
-0.0055,0.0,-0.0292,0.0,0.0,-0.0054,0.0
-0.0087,0.0,-0.0292,0.0,0.0,-0.0054,0.0
-0.014,0.0,-0.0292,0.0,0.0,-0.0054,0.0
-0.0013,0.0,0.0,0.0,0.0,0.0,0.0
